project_name,category,file_path,file_name,keywords
킬로 보안,개발,test_environment\킬로_보안,킬로 보안 개발_760.py,"킬로 보안, 소스, 라이브러리"
마이크 데이터,회의록,test_environment,마이크 데이터 회의록_574.txt,"마이크 데이터, 회의, 논의"
호텔 설계,회의록,test_environment\회의록,호텔 설계 회의록_766.txt,"호텔 설계, 회의, 결정사항"
시에라 재무,마케팅,test_environment\마케팅,시에라 재무 마케팅_457.pptx,"시에라 재무, 캠페인, 광고"
탱고 고객지원,인사,test_environment\인사,탱고 고객지원 인사_259.docx,"탱고 고객지원, 이력서, 평가"
오스카 TF,디자인,test_environment\오스카_TF,오스카 TF 디자인_883.png,"오스카 TF, 프로토타입, 스케치"
로미오 영업,재무,test_environment\로미오_영업,백업_20240912_재무_766.pdf,"로미오 영업, 지출, 예산"
찰리 프로젝트,보고서,test_environment\찰리_프로젝트,찰리 프로젝트 보고서_199.xlsx,"찰리 프로젝트, 현황, 실적"
리마 마케팅,보고서,test_environment\보고서,리마 마케팅 보고서_764.docx,"리마 마케팅, 결과, 실적"
노벰버 보고,계약서,test_environment\계약서,정리필요_계약서_980.pdf,"노벰버 보고, 계약, 협약"
오스카 TF,계약서,test_environment\오스카_TF,오스카 TF 계약서_161.hwp,"오스카 TF, 법률, 협약"
인디아 솔루션,마케팅,test_environment\인디아_솔루션,인디아 솔루션 마케팅_714.pdf,"인디아 솔루션, 프로모션, 캠페인"
마이크 데이터,디자인,test_environment\디자인,마이크 데이터 디자인_995.png,"마이크 데이터, UIUX, 스케치"
시에라 재무,기획서,test_environment\기획서,시에라 재무 기획서_634.pdf,"시에라 재무, 로드맵, 기획"
노벰버 보고,회의록,test_environment\회의록,노벰버 보고 회의록_706.md,"노벰버 보고, 안건, 결정사항"
줄리엣 연구,디자인,test_environment,디자인_줄리엣_연구_최종_829.ai,"줄리엣 연구, 목업, UIUX"
찰리 프로젝트,계약서,test_environment,찰리 프로젝트 계약서_690.hwp,"찰리 프로젝트, 법률, 계약"
골프 개발,기획서,test_environment\골프_개발,Final_기획서_골프_개발_163.docx,"골프 개발, 로드맵, 전략"
퀘벡 품질관리,회의록,test_environment\퀘벡_품질관리,퀘벡 품질관리 회의록_340.docx,"퀘벡 품질관리, 참석자, 안건"
델타 기획,계약서,test_environment,델타 기획 계약서_583.docx,"델타 기획, 법률, 협약"
킬로 보안,보고서,test_environment\킬로_보안,킬로 보안 보고서_190.xlsx,"킬로 보안, 리포트, 현황"
탱고 고객지원,인사,test_environment\탱고_고객지원,탱고 고객지원 인사_318.docx,"탱고 고객지원, 이력서, 휴가"
